word,rootWord,sentimentTag,sentimentStrength,partOfSpeech,definition,exampleSentence,domain,relatedWords,isNegatable
seludup,seludup,negative,-0.8,verb,"Memasukkan atau mengeluarkan sesuatu secara haram atau sulit, biasanya melintasi sempadan.",Polis berjaya menumpaskan cubaan seludup dadah.,"crime, law","['haram', 'penyeludupan', 'salah']",True
mana?,mana,neutral,0,interrogative pronoun,"Digunakan untuk menanyakan tempat, pilihan, atau cara.",Awak dari mana?,general,"['apa', 'siapa', 'bila', 'kenapa']",False
beberapa,beberapa,neutral,0,determiner,Tidak tentu banyaknya; sedikit; sejumlah.,Beberapa orang pelajar telah hadir.,general,"['sedikit', 'sebilangan', 'banyak']",False
Sepatutnya,patut,neutral,0,adverb,Seharusnya; sewajarnya; mengikut apa yang betul atau sesuai.,Sepatutnya dia sudah sampai sekarang.,general,"['seharusnya', 'sewajarnya', 'wajar']",True
✌️👌👍,emosi positif,positive,0.9,emoji,"Gabungan emoji yang melambangkan kejayaan, persetujuan, dan kualiti yang sangat baik.",Kerja awak memang ✌️👌👍!,"communication, informal","['hebat', 'baik', 'setuju', 'mantap']",False
"mahkamah,",mahkamah,neutral,0,noun,Institusi di mana kes undang-undang didengar dan diputuskan oleh hakim.,"Kes itu akan dibawa ke mahkamah, pada minggu depan.","law, justice","['hakim', 'peguam', 'keadilan', 'undang-undang']",False
kita..,kita,neutral,0,pronoun,"Kata ganti nama diri pertama majmuk, merujuk kepada penutur dan pendengar (termasuk penutur, dan pendengar).",Mari kita.. pergi bersama.,general,"['kami', 'anda', 'mereka']",True
..pastu,kemudian,neutral,0,adverb,Selepas itu; kemudian (bentuk tidak formal bagi 'lepas itu').,"Dia makan nasi, ..pastu minum air.","informal, general","['selepas itu', 'kemudian', 'lalu']",False
Bodo,bodoh,negative,-0.7,adjective,Tidak cerdik; dungu; kurang akal (bentuk tidak formal bagi 'bodoh').,"Jangan jadi Bodo, fikirkan baik-baik.","general, insult","['dungu', 'tolol', 'pandai', 'cerdik']",True
mnjadi,menjadi,neutral,0,verb,Berubah atau bertukar kepada sesuatu keadaan atau bentuk; wujud (singkatan bagi 'menjadi').,Dia ingin mnjadi doktor apabila dewasa nanti.,general,"['berubah', 'berlaku', 'terbentuk']",True
"perampok,,takut",perampok,negative,-0.9,noun,Orang yang merampas harta benda orang lain secara paksa atau dengan kekerasan (perkataan 'takut' mungkin merujuk kepada rasa gentar yang berkaitan).,"Berita tentang perampok,,takut itu tersebar luas.","crime, emotion","['penyamun', 'pencuri', 'perompak']",True
de,ada,neutral,0,colloquialism,Singkatan bagi 'ada' atau 'dia' dalam percakapan tidak formal.,Dia de kat sana ke?,"informal, general","['ada', 'dia']",True
forever,selama-lamanya,neutral,0,adverb,Selama-lamanya; untuk selamanya (bahasa Inggeris).,We will be together forever.,general,"['selamanya', 'sentiasa', 'tidak pernah']",False
jugak..,juga,neutral,0,adverb,Juga; pun; demikian juga (bentuk tidak formal bagi 'juga').,Dia datang jugak.. walaupun lambat.,"informal, general","['juga', 'pun', 'demikian']",False
taruhan.,taruhan,neutral,0,noun,Wang atau sesuatu yang dipertaruhkan dalam perjudian; pertaruhan.,Dia meletakkan taruhan. yang besar pada perlumbaan itu.,"gambling, finance","['pertaruhan', 'judi', 'risiko']",False
bahwa,bahawa,neutral,0,conjunction,Kata penghubung yang memperkenalkan klausa pelengkap atau klausa nama (ejaan tidak baku bagi 'bahawa').,Dia mengatakan bahwa dia akan datang.,linguistics,"['yang', 'untuk', 'sehingga']",False
laju,laju,neutral,0,adjective,Bergerak dengan pantas; deras.,Kereta itu bergerak terlalu laju.,general,"['pantas', 'cepat', 'deras', 'perlahan', 'lambat']",True
Hola,Hola,positive,0.3,interjection,Sapaan dalam bahasa Sepanyol yang bermaksud 'hello' atau 'hai'.,"Hola, apa khabar?","greetings, informal","['hello', 'hai', 'salam']",False
Anjing-anjing,anjing,negative,-0.4,noun,"Binatang mamalia peliharaan dari jenis canidae (bentuk jamak). Dalam konteks tertentu, boleh membawa konotasi negatif (cth: ejekan).",Anjing-anjing di jalan itu kelihatan kelaparan.,"animals, informal","['anjing', 'serigala']",True
Pasai,pasal,neutral,0,preposition,"Tentang; mengenai; sebab (bentuk tidak formal bagi 'pasal', terutamanya di utara Malaysia).",Pasai apa dia tak datang?,"informal, general","['tentang', 'mengenai', 'sebab']",False
"xdak,tulaa",tiada itulah,neutral,0,colloquialism,"Gabungan singkatan 'tidak ada' ('xdak') dan 'itulah' ('tulaa'), bermaksud 'tiada, itulah sebabnya' atau 'itulah sebabnya tiada'.","Kenapa dia tak datang? Xdak,tulaa.","informal, general","['tiada', 'itulah', 'tak ada']",False
xde,tiada,neutral,0,colloquialism,Singkatan bagi 'tidak ada' atau 'tiada'.,Duit saya xde dalam dompet.,"informal, general","['tiada', 'tidak ada']",False
hidup,hidup,positive,0.5,"verb, adjective",Bernyawa; menjalani kehidupan; berfungsi.,Semua makhluk hidup perlu air.,"biology, general","['kehidupan', 'mati', 'nyawa', 'bernafas']",True
tetap,tetap,neutral,0,"adjective, adverb",Tidak berubah; kekal; pasti.,Keputusan itu tetap tidak boleh diubah.,general,"['kekal', 'stabil', 'berubah', 'sementara']",True
car.,kereta,neutral,0,noun,Kereta (kenderaan bermotor beroda empat; pinjaman daripada bahasa Inggeris).,Saya baru membeli car. baru.,transportation,"['kereta', 'kenderaan', 'auto']",False
slow2...kuku,perlahan-lahan,neutral,0,colloquialism,"Sangat perlahan; berhati-hati (gabungan perkataan Inggeris 'slow' digandakan untuk penekanan, 'kuku' mungkin tambahan tidak formal yang maksudnya perlu konteks lebih lanjut).",Dia memandu slow2...kuku di jalan yang licin.,"informal, general","['perlahan', 'lambat', 'hati-hati']",True
minit,minit,neutral,0,noun,Unit masa bersamaan enam puluh saat; catatan ringkas mesyuarat.,Mesyuarat itu berlangsung selama tiga puluh minit.,"time, administration","['saat', 'jam', 'masa']",False
mampus,mampus,negative,-0.9,"verb, exclamation",Mati (kata kasar atau umpatan); binasa.,Dia hampir mampus dilanggar kereta.,"informal, negative emotion","['mati', 'binasa', 'hidup']",True
D9,D9,neutral,0,code,"Singkatan atau kod yang tidak mempunyai makna umum tanpa konteks spesifik (cth: model produk, nama kod projek, atau sebahagian alamat).",Produk D9 telah dilancarkan di pasaran.,"technical, unknown",[],False
pnyamun,penyamun,negative,-0.9,noun,Orang yang melakukan perbuatan menyamun; perompak (singkatan/kesilapan ejaan bagi 'penyamun').,Pihak polis berjaya menangkap pnyamun itu.,"crime, law enforcement","['perampok', 'pencuri', 'perompak']",True
"ni,",ini,neutral,0,demonstrative pronoun,Singkatan bagi 'ini' dalam percakapan tidak formal.,"Buku ni, saya punya.","informal, general","['ini', 'tu']",True
makan,makan,neutral,0,verb,Memasukkan makanan ke dalam mulut dan mengunyahnya; mengambil hidangan.,Kami akan makan malam di restoran itu.,"food, general","['minum', 'hidangan', 'santapan']",True
time,masa,neutral,0,noun,Masa; ketika (pinjaman daripada bahasa Inggeris).,Apa time kita nak jumpa?,general,"['masa', 'waktu', 'ketika']",False
tersebut.,sebut,neutral,0,"adjective, determiner",Yang telah disebutkan atau dinyatakan sebelumnya.,Perkara tersebut. perlu diberi perhatian.,general,"['dinyatakan', 'disebutkan', 'dikenali']",False
jelas,jelas,positive,0.4,adjective,Terang dan nyata; mudah difahami; tidak kabur.,Arahan yang diberikan sangat jelas.,general,"['terang', 'nyata', 'faham', 'kabur', 'samar']",True
dkt,dekat,neutral,0,preposition,Singkatan bagi 'dekat'; berhampiran; rapat.,Rumah saya dkt dengan sekolah.,"informal, general","['dekat', 'hampir', 'jauh']",False
sehingga,hingga,neutral,0,"conjunction, preposition",Sampai pada suatu batas waktu atau tempat; agar.,Kami bekerja sehingga larut malam.,general,"['sampai', 'hingga', 'agar']",False
wrong,salah,negative,-0.5,adjective,Salah; tidak betul (pinjaman daripada bahasa Inggeris).,Jawapan awak wrong.,general,"['salah', 'betul', 'benar']",True
baru,baru,neutral,0,"adjective, adverb",Belum lama dibuat atau ada; belum pernah ada sebelumnya; baru sahaja.,Dia baru tiba dari Kuala Lumpur.,general,"['moden', 'lama', 'dahulu', 'baru sahaja']",True
saja,sahaja,neutral,0,adverb,Hanya; cuma; semata-mata (bentuk tidak formal bagi 'sahaja').,Saya datang saja untuk melihat.,general,"['hanya', 'cuma', 'semata-mata']",False
kejadiannya,kejadian,neutral,0,noun,Peristiwa atau insiden yang berlaku; hal yang terjadi.,Saksi menceritakan kejadiannya dengan terperinci.,general,"['peristiwa', 'insiden', 'hal']",False
macamni,macam ini,neutral,0,adverb,Seperti ini; begini.,Awak patut buat macamni.,general,"['begini', 'macam itu']",False
Tercarut,carut,negative,-0.6,verb,Terkeluar perkataan lucah atau kasar secara tidak sengaja.,Dia tercarut apabila jarinya tersepit pintu.,general,"['terhambur', 'melucah']",True
nnti,nanti,neutral,0,adverb,Kemudian; pada masa akan datang.,Jumpa nnti.,general,"['kemudian', 'sebentar lagi']",False
respek,hormat,positive,0.7,noun,Rasa hormat atau penghargaan terhadap seseorang atau sesuatu.,Kami ada respek yang tinggi padanya.,general,"['hormat', 'penghargaan', 'kagum']",True
berlambak,lambak,neutral,0.2,adjective,Ada dengan banyak; bertimbun-timbun.,Buah-buahan berlambak di pasar.,commerce,"['banyak', 'melimpah', 'bertimbun']",True
boleh,boleh,neutral,0,modal verb,Dapat; izin; mampu.,Awak boleh pergi sekarang.,general,"['dapat', 'mampu', 'izin']",True
Taruhan,taruh,neutral,0,noun,Wang atau harta yang dipertaruhkan dalam permainan judi atau sebarang pertandingan.,Dia kehilangan semua taruhannya semalam.,gambling,"['pertaruhan', 'cagaran']",False
tersangka,sangka,negative,-0.5,noun,Orang yang disyaki melakukan sesuatu jenayah atau kesalahan.,Polis menahan beberapa orang tersangka dalam kes rompakan itu.,law,"['suspek', 'tertuduh', 'syak']",False
Knpa,kenapa,neutral,0,interrogative adverb,Mengapa; untuk sebab apa.,Knpa awak tak datang semalam?,general,"['mengapa', 'kenapa']",False
minum,minum,neutral,0,verb,Memasukkan cecair ke dalam mulut dan menelan; mengambil minuman.,Dia suka minum air sejuk.,food,"['meneguk', 'menghirup']",True
Kalau,kalau,neutral,0,conjunction,Jika; andai kata.,"Kalau awak setuju, kita boleh teruskan.",general,"['jika', 'andai', 'sekiranya']",False
now,sekarang,neutral,0,adverb,Sekarang; pada masa ini.,Dia nak jumpa awak now.,general,"['sekarang', 'kini']",False
luar,luar,neutral,0,adverb,Bahagian sebelah sana atau di luar sesuatu.,Dia sedang menunggu di luar rumah.,general,['dalam'],True
hok,yang,neutral,0,conjunction,Yang (dialek pantai timur).,Buku hok dia baca tu menarik.,regional,['yang'],False
yah,ya,neutral,0,interjection,Ungkapan persetujuan atau seruan.,"Yah, betul tu!",general,"['ya', 'betul']",False
itu,itu,neutral,0,demonstrative pronoun,Menunjukkan sesuatu yang jauh atau yang telah disebutkan.,Rumah itu sangat besar.,general,['ini'],False
lari,lari,neutral,0,verb,Bergerak dengan cepat menggunakan kaki; melarikan diri.,Dia lari ke arah hutan.,general,"['berlari', 'melarikan diri']",True
kaya,kaya,positive,0.8,adjective,Mempunyai banyak harta atau wang; mewah.,Dia menjadi kaya setelah berjaya dalam perniagaan.,finance,"['mewah', 'berharta', 'miskin']",True
bdx,budak,neutral,0,noun,Kanak-kanak; orang muda.,Bdx-bdx tu main bola di padang.,general,"['budak', 'kanak-kanak']",False
gila,gila,negative,-0.7,adjective,Hilang akal; tidak siuman; sangat ghairah atau taksub.,Dia berkelakuan seperti orang gila.,health,"['tidak waras', 'taksub', 'siuman']",True
doa,doa,positive,0.6,noun,Permohonan atau harapan kepada Tuhan; memohon.,Dia sentiasa berdoa untuk kebaikan keluarganya.,religion,"['permohonan', 'harapan']",True
kayu,kayu,neutral,0,noun,Bahan keras daripada batang atau dahan pokok.,Rumah itu diperbuat daripada kayu.,general,"['papan', 'balak']",False
anda,anda,neutral,0,pronoun,"Kata ganti nama diri kedua, hormat.","Apa khabar, anda?",general,"['awak', 'kamu']",False
perompak,rompak,negative,-0.9,noun,Orang yang merompak; penyamun.,Perompak itu berjaya ditangkap polis.,crime,"['penyamun', 'pencuri', 'penjenayah']",False
bwk,bawa,neutral,0,verb,Mengangkat atau membawa sesuatu.,Tolong bwk buku ni.,general,"['bawa', 'mengangkut']",True
Bahaya,bahaya,negative,-0.8,noun,Keadaan yang boleh mendatangkan kemudaratan atau kecederaan.,Merokok adalah bahaya kepada kesihatan.,safety,"['risiko', 'mudarat', 'selamat']",True
takda,tiada,neutral,0,adverb,Tidak ada; tidak wujud.,Barang tu takda di kedai.,general,"['tiada', 'tidak ada', 'ada']",False
Teruknya,teruk,negative,-0.7,adjective,Sangat tidak baik; parah; sangat buruk.,Teruknya keadaan rumah itu selepas banjir.,general,"['sangat buruk', 'parah', 'dahsyat']",False
walau,walau,neutral,0,conjunction,Walaupun; meskipun.,"Walau hujan lebat, kami tetap pergi.",general,"['walaupun', 'meskipun', 'sungguhpun']",False
BUNYIKAN,bunyi,neutral,0,verb,Membuat sesuatu mengeluarkan bunyi; membunyikan.,Sila bunyikan loceng jika anda memerlukan bantuan.,general,"['membunyikan', 'mengeluarkan bunyi']",True
tentu,tentu,neutral,0,adjective,Pasti; sudah diketahui dengan pasti.,Dia tentu akan datang esok.,general,"['pasti', 'sudah tentu']",True
huhu,huhu,neutral,0,interjection,"Ungkapan suara yang menyatakan perasaan seperti tawa kecil, sedih, atau kebingungan.","Huhu, memang kelakar cerita tu.",general,"['haha', 'hehe']",False
penyamun,samun,negative,-0.9,noun,Orang yang melakukan perbuatan merompak atau menyamun.,Penyamun itu bersenjatakan parang.,crime,"['perompak', 'pencuri', 'penjenayah']",False
bicara,bicara,neutral,0,verb,Perbuatan bercakap atau berunding; perbicaraan di mahkamah.,Mereka sedang bicara tentang masa depan syarikat.,general,"['bercakap', 'berunding', 'perbincangan']",True
hancing,hancing,negative,-0.6,adjective,Berbau busuk seperti air kencing yang basi.,Bau hancing dari longkang itu sangat kuat.,general,"['busuk', 'masam', 'hanyir']",True
mrk,mereka,neutral,0,pronoun,"Kata ganti nama diri ketiga, jamak.",Mrk semua dah balik.,general,['mereka'],False
akhir,akhir,neutral,0,adjective,Penghujung; yang terakhir; tamat.,Ini adalah bahagian akhir bab ini.,general,"['penghujung', 'tamat', 'permulaan']",True
beritahu,tahu,neutral,0,verb,Menyampaikan maklumat kepada seseorang; memberitahu.,Tolong beritahu saya jika ada apa-apa perubahan.,general,"['memberitahu', 'memaklumkan', 'menyampaikan']",True
mlepaskan,lepas,neutral,0,verb,Membuat sesuatu terbebas; membiarkan pergi.,Dia mlepaskan burung itu ke udara.,general,"['melepaskan', 'membebaskan']",True
careful,berhati-hati,positive,0.4,adjective,Berhati-hati; cermat.,Be careful bila berjalan di sana.,general,"['berhati-hati', 'cermat', 'teliti']",True
Should,patut,neutral,0,modal verb,Patut; harus.,You should pergi sekarang.,general,"['patut', 'harus', 'mesti']",True
reti,reti,neutral,0,verb,Mengerti; faham; tahu.,Dia tak reti cakap Melayu.,general,"['mengerti', 'faham', 'tahu']",True
motor,motor,neutral,0,noun,Enjin yang menggerakkan kenderaan; motosikal (colloquial).,Dia menunggang motor ke tempat kerja.,transport,"['motosikal', 'kenderaan']",False
Mangsa,mangsa,negative,-0.7,noun,"Orang atau benda yang menderita akibat bencana, jenayah, atau kejadian buruk.",Mangsa banjir dipindahkan ke pusat perlindungan.,crime,"['korban', 'penderita']",False
kak,kakak,neutral,0,noun,Panggilan untuk kakak atau wanita yang lebih tua.,"Kak, tolong belikan roti.",family,"['kakak', 'adik']",False
langgar,langgar,negative,-0.6,verb,Melanggar; terlanggar; melanggar peraturan.,Kereta itu langgar lampu isyarat.,transport,"['merempuh', 'mematuhi']",True
akulah,aku,neutral,0,pronoun,Aku (dengan penegasan).,Akulah yang bertanggungjawab.,general,"['aku', 'saya']",False
intai,intai,neutral,-0.2,verb,Melihat secara senyap-senyap atau curi-curi; mengintai.,Dia intai dari balik tirai.,general,"['mengintai', 'menghendap', 'melihat']",True
scariest,takut,negative,-0.8,adjective,Yang paling menakutkan atau mengerikan.,Filem itu adalah yang scariest (paling menakutkan) yang pernah saya tonton.,general,"['mengerikan', 'menyeramkan', 'dahsyat']",True
tumpas,tumpas,negative,-0.7,verb,Kalah dalam pertempuran atau perjuangan; binasa.,Pasukan musuh akhirnya tumpas di medan perang.,military,"['kalah', 'binasa', 'musnah']",True
diberi,beri,neutral,0,verb,Menerima sesuatu; sesuatu yang diberikan kepada.,Dia diberi penghargaan atas usahanya.,general,"['menerima', 'mendapatkan']",True
dengr,dengar,neutral,0,verb,Menggunakan telinga untuk mengetahui bunyi; memahami (bentuk tidak formal bagi 'dengar').,Adakah anda dengr (dengar) apa yang dia katakan?,general,"['mendengar', 'memahami']",True
Tindakan,tindak,neutral,0,noun,Perbuatan atau langkah yang diambil.,Kerajaan mengambil Tindakan (tindakan) tegas terhadap rasuah.,general,"['perbuatan', 'langkah', 'aksi']",True
longkong.yg,longkang,neutral,0,noun,Saluran air buangan (merujuk kepada 'longkang'). 'yg' adalah singkatan bagi 'yang'.,Longkong.yg (longkang yang) kotor itu perlu dibersihkan.,environment,"['parit', 'selokan']",True
can't,tidak dapat,neutral,0,modal verb,Tidak dapat; tidak boleh.,Saya can't (tidak dapat) datang ke majlis itu.,general,"['tidak boleh', 'mustahil']",True
"bahaya,kalau",bahaya,negative,-0.8,noun,Keadaan yang boleh menyebabkan kemudaratan atau kecederaan (merujuk kepada 'bahaya'). 'kalau' bermaksud 'jika'.,"Merokok sangat bahaya,kalau (bahaya, kalau) tidak berhenti.",general,"['risiko', 'ancaman', 'mudarat']",True
duit..rmpak,rompak,negative,-0.9,verb,Perbuatan merampas harta secara kekerasan atau ancaman (merujuk kepada 'rompak'). 'duit' bermaksud 'wang'.,Mereka cuba duit..rmpak (merompak duit) dari bank itu.,crime,"['samun', 'curi', 'ragut']",True
wanita,wanita,neutral,0,noun,Orang perempuan dewasa.,Wanita itu seorang usahawan yang berjaya.,general,"['perempuan', 'isteri']",True
PENJENAYAH,jenayah,negative,-0.8,noun,Orang yang melakukan jenayah.,Polis berjaya menangkap PENJENAYAH (penjenayah) itu.,crime,"['pesalah', 'perompak', 'penjahat']",True
selalunya,selalu,neutral,0,adverb,Pada kebanyakan masa; biasanya.,Dia selalunya pulang ke rumah awal.,general,"['biasanya', 'lazimnya', 'kerap']",True
Naudzubillahiminzalik,N/A,negative,-0.5,interjection,"Kami berlindung kepada Allah daripada perkara itu (digunakan untuk menyatakan rasa terkejut, takut, atau jijik terhadap sesuatu yang buruk).","Naudzubillahiminzalik, semoga kita dijauhkan dari musibah itu.",religion,"['Nauzubillah', 'Astaghfirullah']",False
sy,saya,neutral,0,pronoun,Kata ganti nama diri pertama tunggal (singkatan bagi 'saya').,Sy (Saya) tidak tahu.,general,"['aku', 'beta']",False
dalam,dalam,neutral,0,preposition,Di bahagian tengah atau tengah sesuatu.,Buku itu ada di dalam beg.,general,"['di', 'ke']",True
iblis!,iblis,negative,-0.9,noun,Syaitan; makhluk jahat yang menyesatkan manusia.,Perangai dia macam iblis! (syaitan),religion,"['syaitan', 'jin', 'setan']",True
inggeris,Inggeris,neutral,0,adjective,Berkenaan dengan atau berasal dari England; bahasa England (ejaan tidak formal bagi 'Inggeris').,Dia fasih berbahasa inggeris (Inggeris).,language,"['British', 'England']",True
tinggi,tinggi,neutral,0,adjective,Mempunyai ukuran dari dasar ke atas yang besar; mulia.,Bangunan itu sangat tinggi.,general,"['jangkung', 'mulia']",True
trus,terus,neutral,0,adverb,Tanpa berhenti atau berbelok; serta-merta (bentuk tidak formal bagi 'terus').,Dia trus (terus) berjalan tanpa menoleh.,general,"['langsung', 'serta-merta', 'segera']",True
bermakna,makna,neutral,0,verb,Mempunyai erti atau maksud; penting.,Ucapan itu sangat bermakna baginya.,general,"['bererti', 'penting', 'signifikan']",True
juga,juga,neutral,0,adverb,Pun; turut; malahan.,Dia juga ingin turut serta.,general,"['pun', 'turut', 'malah']",False
tepuk,tepuk,neutral,0,verb,"Memukul ringan dengan telapak tangan, biasanya untuk menghasilkan bunyi atau menarik perhatian.",Dia tepuk bahu saya.,general,"['tepukan', 'tampar']",True
bukti,bukti,neutral,0,noun,Sesuatu yang menunjukkan kebenaran atau kewujudan sesuatu.,Tiada bukti kukuh ditemui.,law,"['dalil', 'keterangan', 'saksi']",True
DAN,dan,neutral,0,conjunction,"Kata penghubung untuk menyambung dua atau lebih perkataan, frasa, atau ayat.",Saya DAN (dan) kawan saya pergi ke pasar.,general,"['serta', 'lalu']",False
Malaysia,Malaysia,neutral,0,proper noun,Nama negara di Asia Tenggara.,Malaysia terkenal dengan kepelbagaian budayanya.,geography,[],False
niat,niat,neutral,0,noun,Tujuan atau maksud dalam melakukan sesuatu.,Dia mempunyai niat baik untuk membantu.,general,"['tujuan', 'maksud', 'azam']",True
pasal,pasal,neutral,0,preposition,Berkenaan dengan; tentang.,Mereka berbincang pasal masalah itu.,general,"['tentang', 'mengenai', 'perihal']",False
keje,kerja,neutral,0,noun,Aktiviti yang dilakukan untuk menghasilkan sesuatu atau mendapatkan upah (bentuk tidak formal bagi 'kerja').,Dia pergi keje (kerja) setiap pagi.,general,"['tugas', 'pekerjaan']",True
dicari,cari,neutral,0,verb,Sedang diusahakan untuk ditemui atau ditemukan.,Penjenayah itu masih dicari oleh pihak polis.,general,"['dijejaki', 'diusahakan']",True
taknak.,hendak,neutral,0,verb,Tidak mahu; tidak hendak (bentuk tidak formal bagi 'tidak hendak' atau 'tidak mahu').,Dia taknak. (tidak mahu) makan nasi.,general,"['tidak mahu', 'enggan']",True
memerlukan..sekarang,perlu,neutral,0,verb,Mempunyai keperluan akan sesuatu; berkehendak (merujuk kepada 'memerlukan'). 'sekarang' bermaksud 'kini'.,Kita memerlukan..sekarang (memerlukan sekarang) bantuan anda.,general,"['berkehendak', 'menghendaki']",True
ka,kah,neutral,0,particle,Partikel penegas atau pertanyaan (bentuk tidak formal bagi 'kah').,Betul ka (betulkah) apa yang dia cakap?,general,['kah'],False
karna,kerana,neutral,0,conjunction,Oleh sebab; disebabkan (bentuk tidak formal bagi 'kerana').,Dia tidak datang karna (kerana) hujan lebat.,general,"['sebab', 'oleh kerana']",False
banyak..,banyak,neutral,0,adjective,Dalam jumlah yang besar; tidak sedikit (merujuk kepada 'banyak').,Ada banyak.. (banyak) buku di perpustakaan itu.,general,"['ramai', 'melimpah']",True
muka,muka,neutral,0,noun,Bahagian hadapan kepala; rupa.,Dia mempunyai muka yang cantik.,anatomy,"['wajah', 'paras', 'air muka']",True
mengetuk,ketuk,neutral,0,verb,"Memukul sesuatu dengan keras dan berulang kali, biasanya untuk menghasilkan bunyi.",Dia mengetuk pintu berkali-kali.,general,"['memukul', 'menghentak']",True
tegas,tegas,neutral,0,adjective,Keras dan tidak berganjak; jelas dan nyata.,Guru itu sangat tegas dalam mendidik muridnya.,general,"['cekal', 'kental', 'jelas']",True
penciptaan,cipta,neutral,0,noun,Proses atau hasil menciptakan sesuatu.,Penciptaan alat baharu itu mengambil masa bertahun-tahun.,general,"['ciptaan', 'pembentukan']",True
"keja,dapat",kerja,neutral,0,noun,Aktiviti yang dilakukan untuk menghasilkan sesuatu atau mendapatkan upah (merujuk kepada 'keja' atau 'kerja'). 'dapat' bermaksud 'memperoleh'.,"Selepas keja,dapat (kerja, dapat)lah gajinya.",general,"['tugas', 'pekerjaan']",True
bumped,langgar,negative,-0.2,verb,Telah terlanggar atau berlanggar (kata kerja Bahasa Inggeris).,Saya bumped (terlanggar) meja itu tadi.,general,"['terlanggar', 'berlanggar', 'tersentuh']",True
diri....langgar,langgar,negative,-0.7,verb,Memukul atau menabrak sesuatu (merujuk kepada 'langgar'). 'diri' bermaksud 'badan sendiri'.,Dia diri....langgar (melanggar) keretanya.,general,"['tabrak', 'rempuh', 'pukul']",True
drive,pandu,neutral,0,verb,Mengendalikan kenderaan; memandu (kata kerja Bahasa Inggeris).,Dia drive (memandu) keretanya dengan laju.,automotive,"['memandu', 'mengendalikan']",True
"jb,",Johor Bahru,neutral,0,proper noun,"Singkatan bagi Johor Bahru, sebuah bandaraya di Malaysia.","Dia tinggal di jb, (Johor Bahru).",geography,['Johor Bahru'],False
tolong,tolong,neutral,0,verb,Membantu atau memberikan sokongan.,Tolong saya angkat kotak ini.,general,"['bantu', 'sokong']",True
auto,automatik,neutral,0,adjective,Berfungsi secara sendiri tanpa kawalan manusia; automatik (kata pinjaman dari Bahasa Inggeris).,Kereta itu ada gear auto (automatik).,technology,"['automatik', 'sendiri']",True
aduh,aduh,negative,-0.3,interjection,"Seruan yang menyatakan rasa sakit, kecewa, atau terkejut.",Aduh! Sakitnya kaki saya.,general,"['alamak', 'cis']",False
xbulih,boleh,neutral,0,modal verb,Tidak boleh; tidak dapat (bentuk tidak formal dan singkatan bagi 'tidak boleh').,Saya xbulih (tidak boleh) datang esok.,general,"['tak boleh', 'tak dapat']",True
mana,mana,neutral,0,interrogative pronoun,"Kata tanya untuk tempat, benda, atau cara.",Di mana awak tinggal?,general,"['di mana', 'ke mana']",False
Kita,kita,neutral,0,pronoun,"Kata ganti nama diri pertama jamak, merujuk kepada diri sendiri dan orang lain, termasuk orang yang diajak bercakap.",Kita (kita) perlu bekerjasama.,general,"['kami', 'awak']",False
